"Date","Time","Changed by","What changed","Files touched","Files","Reference"
"2026-08-29","00:26","Sampurna Pal","chore: remove every em dash from the page and the repo","13","README.md, build.mjs, data/cdlc-epic.json, data/changes.json, data/epic-reference.json, data/process-doc.json, data/process.json, index.html, scripts/build-cdlc.mjs, scripts/redact.mjs, scripts/refresh-usage.mjs, scripts/sync-from-export.mjs, src/page.html","36d37b7"
"2026-08-29","00:21","Sampurna Pal","refactor: plain language on the Fields tab","3","data/fields.json, index.html, src/page.html","d2b3e90"
"2026-08-29","00:14","Sampurna Pal","feat: add a Fields tab showing who fills each field","3","build.mjs, index.html, src/page.html","cd9ae9e"
"2026-08-29","00:04","Sampurna Pal","feat: make Course Type a selector, and add the Certification tree","4","data/cdlc-epic.json, index.html, scripts/build-cdlc.mjs, src/page.html","bc48a00"
"2026-08-28","23:55","Sampurna Pal","refactor: drop the status list, move the live example beside Done","2","index.html, src/page.html","8fab0b7"
"2026-08-28","23:52","Sampurna Pal","chore: file the two untagged changes under Miscellaneous","2","data/changes.json, index.html","1167123"
"2026-08-28","23:47","Sampurna Pal","feat: put the change history on a tab, and let it be filtered","2","index.html, src/page.html","d8a083e"
"2026-08-28","23:42","Sampurna Pal","refactor: drop ticket counts, show the workflow only where it differs","2","index.html, src/page.html","a208d55"
"2026-08-28","23:36","Sampurna Pal","refactor: draw workflows as one line of boxes instead of a transition list","4","data/cdlc-epic.json, data/process-doc.json, index.html, src/page.html","74ee355"
"2026-08-28","23:28","Sampurna Pal","feat: add the change history, and sync all data from Jira's own export","7","build.mjs, data/cdlc-epic.json, data/transitions.json, data/worktypes.json, index.html, scripts/sync-from-export.mjs, src/page.html","88518b5"
"2026-08-28","23:21","Sampurna Pal","feat: derive digitization from its automation rules, restore Topic Corrections","4","data/cdlc-epic.json, index.html, scripts/build-cdlc.mjs, src/page.html","079cbc5"
"2026-08-28","23:17","Sampurna Pal","fix: rebuild the Topic cascade from Jira's automation rules","4","data/cdlc-epic.json, data/jira-workflows-export.json, index.html, scripts/build-cdlc.mjs","29dbe6e"
"2026-08-28","22:18","Sampurna Pal","fix: give Topic its real subtasks, derived from usage not from one ticket","3","data/cdlc-epic.json, index.html, scripts/build-cdlc.mjs","bae5d3b"
"2026-08-28","21:51","Sampurna Pal","refactor: strip prose from child pages","2","index.html, src/page.html","50418fe"
"2026-08-28","21:43","Sampurna Pal","feat: add Course Type, correct the Topic automation note, bank the SOP","5","data/cdlc-epic.json, data/process-doc.json, index.html, scripts/build-cdlc.mjs, src/page.html","6175bf9"
"2026-08-28","21:20","Sampurna Pal","feat: drill CDLC to the bottom of the tree, and fix the README","7","README.md, build.mjs, data/cdlc-epic.json, index.html, scripts/build-cdlc.mjs, scripts/embed-data.mjs, src/page.html","ee8031f"
"2026-08-28","20:59","Sampurna Pal","feat: rebuild as a Jira-shaped browser, starting with the CDLC Epic","12",".gitignore, data/categories.json, data/cdlc-epic.json, data/changes.json, data/epic-reference.json, data/fields.json, data/process.json, data/transitions.json, data/worktypes.json, index.html, scripts/embed-data.mjs, src/page.html","96151fa"
"2026-08-28","19:26","Sampurna Pal","Rebuild as a drill-down tree instead of stacked tabs","2","index.html, src/page.html","1bd9a76"
"2026-08-28","18:32","Sampurna Pal","Add the Fields tab","2","index.html, src/page.html","669fb36"
"2026-08-28","18:22","Sampurna Pal","Add workflow transitions, refresh against live Jira","2","index.html, src/page.html","dae9f59"
"2026-08-27","19:35","Sampurna Pal","Make the usage refresh manual only","2",".github/workflows/refresh.yml, README.md","ef95d4d"
"2026-08-27","18:30","Sampurna Pal","Add CDLC Workflow Record site","10",".github/workflows/refresh.yml, .gitignore, .nojekyll, README.md, build.mjs, index.html, redaction-map.example.json, scripts/redact.mjs, scripts/refresh-usage.mjs, src/page.html","d7e2a8b"
